Category,Feature,Description,Status,Priority,Notes
Daily life,Private vault,"PIN-gated notes/letters-to-self; PIN stored only as a salted SHA-256 hash, entries in a separate local key, never synced and never sent to the AI. Re-locks on leave; forgot-PIN reset",Built,P2,"NEW (task #39); lib/vault.js + screens/Vault.jsx, in For-you hub"
Daily life,Breathing & grounding,"Standalone calm tool: animated box-breathing orb (in/hold/out/hold) + a 5-4-3-2-1 grounding walkthrough. No AI/companion",Built,P1,"NEW (task #40); screens/Breathe.jsx, in For-you hub"
Shareable,Cosmic profile card,"Exportable 1080px card of the user's multi-system chart (sun/element, Chinese, life path, Vedic) + their companions; native share or download. Growth loop",Built,P2,"NEW (task #41); card.makeProfileCardBlob, shared from For-you hub"
Companion Dynamics,Companion-of-the-day summary,"A glanceable hero card atop the For-you hub: rotates through your companions by date with a short warm note tinted by the day's cosmic focus; tap to open that companion",Built,P2,"NEW (task #42); horoscope.companionOfDay, ForYou hero"
Growth,Duo compatibility,"Enter a friend's name + birthday for a fun compatibility reading (score + element blurb) from the astrology engine; a shareable invite-a-friend moment. No account/network",Built,P2,"NEW (task #43); screens/DuoCompat.jsx off zodiac COMPAT/getUserAstro, in For-you hub"
Companion Dynamics,Shared memories timeline,"A chronological story-of-us auto-built from companion arrivals, shared moments (lore), inside jokes, gifts, letters, growth, and photos you shared — a vertical dated timeline",Built,P2,"NEW (task #44); screens/Timeline.jsx, menu -> Timeline"
Companion Dynamics,Companion dreams peek,"The companion profile surfaces their inner world — their latest dream (now visible even when awake, as 'Last dream'), recent journal entries, and long-term growth notes — an opt-in peek for intimacy",Built,P3,"NEW (task #45); CompanionProfile inner-world sections (journal/growth already shown; dream now always)"
Chat System,Ask-the-room debates,"A 🗣 action in group chat: pose a question and EVERY awake companion weighs in with their own honest take, building on or disagreeing with each other. Showcases the multi-companion personalities",Built,P2,"NEW (task #46); Chat.askRoom + input-row button"
Notifications,Smart notifications & quiet hours,"Quiet-hours do-not-disturb window (midnight-wrapping, user's tz) + a tone selector (gentle/standard/chatty), stored on the push schedule and synced. The server cron honors quiet hours (skips sends inside the window)",Built,P2,"NEW (task #47); Settings quiet-hours+tone UI, worker.inQuietHours+scheduleDue, 5 server tests (47 total)"
Privacy,Data export & portability,"One-tap 'Download my data (readable)' — a Markdown document with profile, companions, full chat transcript, journals, goals, mood history, rituals & values. The private vault is deliberately excluded. Complements the existing JSON backup/restore. GDPR/CCPA portability spirit",Built,P1,"NEW (task #48); lib/dataexport.js, Settings Data section"
Customization,Ambiance soundscapes,"Gentle ambient soundscapes for The Space (rain / waves / deep space / forest) synthesized live with Web Audio, PLUS upload-your-own: any audio file (up to 20 MB) stored on-device in IndexedDB and looped softly. Chosen pack persists (custom keys are custom:<id>); uploads are selectable/removable chips. (Full accent-theme swapping still deferred — needs a design-token refactor)",Built,P2,"NEW (task #49); lib/ambiance.js (Web Audio + IndexedDB custom clips), Settings Comfort > Ambiance with upload; plays only in The Space (resume on entry/first tap, stop on leave), master-gain volume slider (persisted, applies live)"
